產品類型,產品名稱,產品型號,碳標籤證書,,,,公司/團體名稱,統一編號/農畜牧登字,生產廠場/服務廠場,,,,,,碳足跡數據,宣告單位,產品生命週期各階段碳足跡比例,,,,,採用產品類別規則(PCR),
,,,證書編號,生效日期,有效期限,狀態,,,名稱(1),地址(1),名稱(2),地址(2),名稱(3),地址(3),,,原料取得,製造/服務,配送銷售,使用,廢棄回收,編號,名稱
商品,動福蛋,-,2500407001,2025/06/03,2027/06/02,有效,大武山牧場科技股份有限公司,28554142,大武山蛋中雞畜牧場,屏東縣新埤鄉萬隆村中山路3-36號,大武山蛋雞畜牧場第二分場,屏東縣新埤鄉萬隆村平山路90號,大武山牧場科技股份有限公司,屏東縣新埤鄉萬隆村平山路68-29號,1.00kg,每盒（10顆）／每盒,61.02%,27.40%,9.88%,0.76%,0.94%,20-061,鮮蛋
商品,石安牧場動福蛋,10入PET盒,R2100407003,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場 ,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,0.00g,公克,25.91%,69.19%,0.13%,2.19%,2.58%,20-061,鮮蛋
商品,石安牧場動福蛋,6入PET盒,R2100407001,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,700.00g,每盒(6粒)/PET,26.74%,67.95%,0.13%,2.19%,2.99%,20-061,鮮蛋
商品,石安牧場動福蛋,30入PLA盒,R2100407005,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,0.00g,公克,25.49%,64.56%,0.40%,6.92%,2.63%,20-061,鮮蛋
商品,石安牧場動福蛋,30入紙盤,R2100407004,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場 ,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,3.80kg,每盤(30粒)/紙盤,23.80%,66.14%,0.40%,7.09%,2.57%,20-061,鮮蛋
商品,石安牧場動福蛋,10入紙盒,R2100407002,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,1.10kg,每盒(10粒)/紙盒,26.10%,68.13%,0.17%,2.16%,3.44%,20-061,鮮蛋
商品,石安牧場動福蛋,30入塑膠盤,2100407018,2021/09/25,2026/09/24,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,3.00kg,每盤(30粒)/塑膠盤,45.51%,47.80%,0.22%,6.47%,0.00%,20-061,鮮蛋
商品,石安牧場動福蛋,30入紙盤,2100407016,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,4.00kg,每盤(30粒)/紙盤,45.82%,35.97%,12.36%,4.87%,0.98%,20-061,鮮蛋
商品,石安牧場動福蛋,30入PLA盒,2100407017,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,4.00kg,每盒(30粒)/PLA,47.90%,34.29%,12.44%,4.64%,0.73%,20-061,鮮蛋
商品,石安牧場動福蛋,10入紙盒,2100407014,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,1.00kg,每盒(10粒)/紙盒,52.11%,41.13%,0.19%,5.54%,1.03%,20-061,鮮蛋
商品,石安牧場動福蛋,10入PLA盒,2100407015,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,1.00kg,每盒(10粒)/PLA,52.55%,38.56%,2.91%,5.19%,0.79%,20-061,鮮蛋
商品,石安牧場動福蛋,6入PLA盒,2100407013,2021/10/24,2026/10/23,有效,石安牧場,202171,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,,,,,650.00g,每盒(6粒)/PLA,52.42%,40.81%,0.52%,5.52%,0.73%,20-061,鮮蛋
商品,統一陽光陽光黃金豆豆漿,450ml,2102202001,2021/08/24,2026/08/23,有效,統一企業股份有限公司,73251209,統一企業股份有限公司新市廠,臺南市新市區大營里大營7號,統一企業股份有限公司楊梅廠,桃園市楊梅區民富路一段301號、301之1號,,,380.00g,1盒(紙盒，450ml),61.31%,22.52%,15.03%,0.57%,0.57%,20-026,包裝豆穀類飲品
商品,愛之味純濃燕麥(天然原味),290ml,2202202006,2022/11/12,2027/11/11,有效,台灣第一生化科技股份有限公司,70744139,台灣第一生化科技股份有限公司嘉義保健飲料廠,嘉義縣民雄鄉興南村工業二路１２－１號,,,,,300.00g,每瓶,55.13%,32.44%,11.21%,0.00%,1.22%,20-026,包裝豆穀類飲品
商品,愛之味純濃燕麥(天然原味),340ml,2202202007,2022/11/12,2027/11/11,有效,台灣第一生化科技股份有限公司,70744139,台灣第一生化科技股份有限公司嘉義保健飲料廠,嘉義縣民雄鄉興南村工業二路１２－１號,,,,,280.00g,每瓶,62.25%,35.78%,0.53%,0.00%,1.44%,20-026,包裝豆穀類飲品
商品,愛之味純濃燕麥(天然原味),880ml,2202202008,2022/11/12,2027/11/11,有效,台灣第一生化科技股份有限公司,70744139,台灣第一生化科技股份有限公司嘉義保健飲料廠,嘉義縣民雄鄉興南村工業二路１２－１號,,,,,850.00g,每瓶,40.12%,36.70%,17.31%,4.94%,0.93%,20-026,包裝豆穀類飲品
商品,野菽家營養棒-蜂蜜檸檬,BUZS-3012-UG,2101905004,2021/07/03,2026/07/02,有效,弘陽食品股份有限公司,89315539,弘陽食品股份有限公司四湖廠/水產生技廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,85.00g,一條野菽家營養棒-蜂蜜檸檬(30g),78.53%,17.71%,2.11%,0.00%,1.65%,20-024,包餡糕餅
商品,野菽家營養棒-海苔藜麥,BUX-3012-UG,2101905003,2021/07/03,2026/07/02,有效,弘陽食品股份有限公司,89315539,弘陽食品股份有限公司四湖廠/水產生技廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,90.00g,一條野菽家營養棒-海苔藜麥(30g),81.04%,15.60%,1.86%,0.00%,1.50%,20-024,包餡糕餅
商品,野菽家營養棒-蔓越莓,BUA-3012-UG,2101905002,2021/07/03,2026/07/02,有效,弘陽食品股份有限公司,89315539,弘陽食品股份有限公司四湖廠/水產生技廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,85.00g,一條野菽家營養棒-蔓越莓(30g),77.99%,18.30%,2.10%,0.00%,1.61%,20-024,包餡糕餅
商品,烏沙蛋黃酥,-,2101905001,2021/02/03,2026/02/02,有效,郭元益食品股份有限公司,31264218,郭元益食品股份有限公司楊梅廠,桃園市楊梅區高山里青年路9巷1號,,,,,360.00g,顆,53.07%,39.00%,6.45%,0.00%,1.48%,20-024,包餡糕餅
商品,Q餅,-,2501905001,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,495.00g,每顆Q餅(70g含包裝，不需冷藏),77.58%,17.60%,4.70%,0.00%,0.12%,20-024,包餡糕餅
商品,松子Q餅,-,2501905002,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,558.00g,每顆松子Q餅(70g含包裝，不需冷藏),80.30%,15.59%,4.00%,0.00%,0.11%,20-024,包餡糕餅
商品,阿里山Q餅,-,2501905003,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,593.00g,每顆阿里山Q餅(70g含包裝，不需冷藏),81.84%,14.60%,3.45%,0.00%,0.11%,20-024,包餡糕餅
商品,五入Q餅禮盒,-,2501905004,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,3.00kg,每盒五入Q餅禮盒(350g含包裝，不需冷藏),76.51%,15.31%,5.77%,0.00%,2.41%,20-024,包餡糕餅
商品,鳳梨酥,-,2501905005,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,187.00g,每顆鳳梨酥(30g含包裝，不需冷藏),79.00%,14.85%,5.93%,0.00%,0.22%,20-024,包餡糕餅
商品,鳳凰酥,-,2501905006,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,252.00g,每顆鳳凰酥(40g含包裝，不需冷藏),78.19%,15.63%,6.02%,0.00%,0.16%,20-024,包餡糕餅
商品,蔓越莓酥,-,2501905007,2025/04/19,2030/04/18,有效,聖保羅企業股份有限公司,53389851,聖保羅企業股份有限公司,嘉義市西區劉富街21號,,,,,258.00g,每顆蔓越莓酥(40g含包裝，不需冷藏),78.72%,15.27%,5.85%,0.00%,0.16%,20-024,包餡糕餅
商品,核桃杏香酥,-,2301905007,2023/11/22,2028/11/21,有效,舊振南食品股份有限公司　,27386978,舊振南食品股份有限公司新生廠,高雄市前鎮區新生路248之47號4樓,,,,,190.00g,每顆核桃杏香酥(18g),49.06%,50.65%,0.29%,0.00%,0.00%,20-024,包餡糕餅
商品,迷你金沙蛋黃酥,-,2401905003,2024/06/22,2029/06/21,有效,郭元益食品股份有限公司,31264218,郭元益食品股份有限公司楊梅廠,桃園市楊梅區高山里青年路9巷1號,,,,,120.00g,每顆17g±3％之迷你金沙蛋黃酥(含包裝),47.17%,51.92%,0.85%,0.00%,0.06%,20-024,包餡糕餅
商品,珍珠奶茶酥,-,2401905002,2024/06/22,2029/06/21,有效,郭元益食品股份有限公司,31264218,郭元益食品股份有限公司楊梅廠,桃園市楊梅區高山里青年路9巷1號,,,,,220.00g,每顆42g±9％之珍珠奶茶酥(含包裝),43.80%,55.47%,0.50%,0.00%,0.23%,20-024,包餡糕餅
商品,鳳梨酥,-,2301905008,2023/11/22,2028/11/21,有效,舊振南食品股份有限公司　,27386978,舊振南食品股份有限公司新生廠,高雄市前鎮區新生路248之47號4樓,,,,,236.00g,每顆鳳梨酥(35g),54.25%,44.91%,0.84%,0.00%,0.00%,20-024,包餡糕餅
商品,頂級蛋黃酥,-,2401905001,2024/06/22,2029/06/21,有效,郭元益食品股份有限公司,31264218,郭元益食品股份有限公司楊梅廠,桃園市楊梅區高山里青年路9巷1號,,,,,317.00g,每顆63g±7％之頂級蛋黃酥(含包裝),42.38%,55.54%,1.86%,0.00%,0.22%,20-024,包餡糕餅
商品,"TCR ADVANCED PRO 0D DI, 尺寸S",-,2508712001,2025/04/10,2030/04/09,有效,巨大機械工業股份有限公司,56054251,巨大機械工業股份有限公司日南廠,"臺中市大甲區順帆路19號,19-5號",,,,,242.00kg,"一輛自行車(輪徑25""*車架尺寸29"") ",58.05%,39.17%,0.50%,1.92%,0.36%,20-032,自行車
商品,"TCR ADVANCED PRO 0D DI, 尺寸M",-,2508712002,2025/04/10,2030/04/09,有效,巨大機械工業股份有限公司,56054251,巨大機械工業股份有限公司日南廠,"臺中市大甲區順帆路19號,19-5號",,,,,244.00kg,"一輛自行車(輪徑25""*車架尺寸29"")",58.00%,38.79%,0.92%,1.90%,0.39%,20-032,自行車
